Nome;Motor;Ano;Quilometragem;Zero_km;Acessórios;Valor
Jetta Variant;Motor 4.0 Turbo;2003;44410;False;['Rodas de liga', 'Travas elétricas', 'Piloto automático', 'Bancos de couro', 'Ar condicionado', 'Sensor de estacionamento', 'Sensor crepuscular', 'Sensor de chuva'];88078.64
Passat;Motor Diesel;1991;5712;False;['Central multimídia', 'Teto panorâmico', 'Freios ABS', '4 X 4', 'Painel digital', 'Piloto automático', 'Bancos de couro', 'Câmera de estacionamento'];106161.94
Crossfox;Motor Diesel V8;1990;37123;False;['Piloto automático', 'Controle de estabilidade', 'Sensor crepuscular', 'Freios ABS', 'Câmbio automático', 'Bancos de couro', 'Central multimídia', 'Vidros elétricos'];72832.16
DS5;Motor 2.4 Turbo;2019;;True;['Travas elétricas', '4 X 4', 'Vidros elétricos', 'Sensor crepuscular', 'Sensor de chuva', 'Câmera de estacionamento', 'Ar condicionado', 'Rodas de liga'];124549.07
Aston Martin DB4;Motor 2.4 Turbo;2006;25757;False;['Rodas de liga', '4 X 4', 'Central multimídia', 'Ar condicionado', 'Controle de estabilidade', 'Câmbio automático', 'Sensor de estacionamento', 'Piloto automático'];92612.1
Palio Weekend;Motor 1.8 16v;2012;10728;False;['Sensor de estacionamento', 'Teto panorâmico', 'Sensor crepuscular', 'Painel digital', 'Ar condicionado', 'Rodas de liga', 'Controle de estabilidade', 'Bancos de couro'];97497.73
A5;Motor 4.0 Turbo;2019;;True;['Câmbio automático', 'Câmera de estacionamento', 'Freios ABS', 'Controle de tração', 'Central multimídia', 'Travas elétricas', 'Sensor crepuscular', 'Rodas de liga'];56445.2
Série 3 Cabrio;Motor 1.0 8v;2009;77599;False;['Controle de estabilidade', 'Sensor crepuscular', 'Controle de tração', 'Teto panorâmico', 'Travas elétricas', 'Piloto automático', 'Painel digital', 'Câmera de estacionamento'];112310.44
Dodge Jorney;Motor 3.0 32v;2010;99197;False;['Vidros elétricos', 'Piloto automático', 'Teto panorâmico', 'Ar condicionado', 'Bancos de couro', 'Câmbio automático', 'Rodas de liga', 'Travas elétricas'];120716.27
Carens;Motor 5.0 V8 Bi-Turbo;2011;37978;False;['Ar condicionado', 'Painel digital', 'Central multimídia', 'Sensor crepuscular', 'Câmbio automático', 'Rodas de liga', 'Controle de tração', 'Câmera de estacionamento'];76566.49
Ford Edge;Motor Diesel V6;2002;12859;False;['Sensor crepuscular', 'Rodas de liga', 'Teto panorâmico', 'Sensor de chuva', 'Travas elétricas', 'Sensor de estacionamento', 'Controle de tração', 'Ar condicionado'];71647.59
Courier;Motor Diesel V8;2007;8052;False;['Central multimídia', '4 X 4', 'Piloto automático', 'Teto panorâmico', 'Controle de estabilidade', 'Câmera de estacionamento', 'Bancos de couro', 'Vidros elétricos'];73919.53
S-18;Motor V6;2001;89773;False;['Bancos de couro', 'Sensor de chuva', 'Rodas de liga', 'Central multimídia', 'Travas elétricas', 'Ar condicionado', 'Câmera de estacionamento', 'Sensor crepuscular'];112732.99
J5;Motor V6;2019;;True;['Sensor crepuscular', 'Painel digital', 'Rodas de liga', 'Freios ABS', 'Câmbio automático', 'Controle de tração', 'Central multimídia', 'Câmera de estacionamento'];53183.38
F-Type Coupé;Motor 5.0 V8 Bi-Turbo;2009;41457;False;['Piloto automático', 'Sensor crepuscular', 'Sensor de chuva', 'Ar condicionado', 'Sensor de estacionamento', 'Controle de tração', 'Câmera de estacionamento', 'Vidros elétricos'];127488.42
RAM;Motor Diesel V8;2016;115607;False;['Sensor crepuscular', 'Câmbio automático', 'Sensor de chuva', 'Central multimídia', 'Controle de estabilidade', '4 X 4', 'Freios ABS', 'Piloto automático'];59910.4
Série 1;Motor 3.0 32v;2012;46449;False;['Teto panorâmico', 'Câmera de estacionamento', 'Travas elétricas', '4 X 4', 'Painel digital', 'Central multimídia', 'Rodas de liga', 'Freios ABS'];61118.59
A3;Motor 1.0 8v;2019;;True;['4 X 4', 'Piloto automático', 'Central multimídia', 'Teto panorâmico', 'Sensor de estacionamento', 'Controle de tração', 'Controle de estabilidade', 'Sensor de chuva'];88552.39
XC90;Motor 1.0 8v;2016;37086;False;['Travas elétricas', 'Vidros elétricos', 'Teto panorâmico', 'Central multimídia', 'Controle de estabilidade', '4 X 4', 'Câmbio automático', 'Sensor de chuva'];62696.69
RS 3 Sportback;Motor 3.0 32v;2017;15173;False;['4 X 4', 'Piloto automático', 'Central multimídia', 'Bancos de couro', 'Sensor de chuva', 'Rodas de liga', 'Ar condicionado', 'Sensor crepuscular'];101726.3
Pajero Sport;Motor 1.0 8v;2002;101193;False;['Sensor de estacionamento', 'Piloto automático', 'Câmbio automático', 'Painel digital', 'Freios ABS', 'Câmera de estacionamento', 'Rodas de liga', 'Controle de estabilidade'];106147.38
Série 1 M;Motor V8;2019;;True;['Controle de estabilidade', 'Central multimídia', 'Painel digital', 'Sensor crepuscular', 'Sensor de chuva', 'Câmera de estacionamento', 'Ar condicionado', 'Freios ABS'];94564.4
Lamborghini Obvious;Motor Diesel V6;1994;98079;False;['Rodas de liga', 'Câmbio automático', 'Travas elétricas', 'Teto panorâmico', 'Controle de estabilidade', 'Central multimídia', 'Sensor de estacionamento', 'Sensor crepuscular'];133529.84
Effa Hafei Picape Baú;Motor Diesel;1991;102959;False;['Controle de estabilidade', 'Painel digital', 'Vidros elétricos', '4 X 4', 'Sensor crepuscular', 'Ar condicionado', 'Travas elétricas', 'Central multimídia'];125684.65
Lamborghini Murciélago;Motor 5.0 V8 Bi-Turbo;2019;;True;['Freios ABS', 'Câmbio automático', 'Ar condicionado', 'Câmera de estacionamento', 'Controle de tração', 'Central multimídia', 'Sensor crepuscular', 'Controle de estabilidade'];121596.21
Up!;Motor Diesel V6;2019;;True;['Sensor de estacionamento', 'Vidros elétricos', 'Freios ABS', 'Central multimídia', 'Controle de estabilidade', 'Sensor de chuva', 'Câmbio automático', 'Piloto automático'];71367.1
Fiesta Rocam Sedan;Motor 4.0 Turbo;2016;5795;False;['Ar condicionado', 'Bancos de couro', 'Câmbio automático', 'Câmera de estacionamento', 'Piloto automático', 'Controle de estabilidade', 'Sensor de chuva', 'Vidros elétricos'];95347.75
Sandero Stepway;Motor 3.0 32v;2019;;True;['Freios ABS', 'Ar condicionado', 'Teto panorâmico', 'Painel digital', 'Sensor de estacionamento', 'Vidros elétricos', 'Sensor crepuscular', 'Piloto automático'];105432.84
Cayman S;Motor 3.0 32v;2002;58848;False;['Câmbio automático', 'Sensor de estacionamento', 'Rodas de liga', 'Vidros elétricos', '4 X 4', 'Bancos de couro', 'Painel digital', 'Travas elétricas'];57045.27
V40;Motor 4.0 Turbo;1991;94381;False;['Câmera de estacionamento', 'Sensor de estacionamento', 'Rodas de liga', 'Controle de tração', 'Freios ABS', 'Câmbio automático', 'Bancos de couro', 'Sensor de chuva'];120432.7
Classe SLS AMG;Motor 1.0 8v;1997;30163;False;['Sensor de estacionamento', 'Controle de estabilidade', 'Sensor de chuva', 'Travas elétricas', 'Painel digital', 'Sensor crepuscular', 'Piloto automático', 'Bancos de couro'];70707.2
Gol G4;Motor 2.0 16v;1995;53332;False;['Sensor crepuscular', '4 X 4', 'Vidros elétricos', 'Controle de tração', 'Ar condicionado', 'Câmera de estacionamento', 'Painel digital', 'Freios ABS'];69105.18
Linea;Motor 1.0 8v;2018;17720;False;['Piloto automático', 'Painel digital', 'Vidros elétricos', 'Controle de tração', 'Teto panorâmico', 'Ar condicionado', 'Câmera de estacionamento', 'Rodas de liga'];59358.69
Ford F100;Motor 2.0 16v;1991;33808;False;['Controle de tração', 'Sensor crepuscular', 'Travas elétricas', 'Bancos de couro', 'Câmera de estacionamento', 'Rodas de liga', 'Central multimídia', '4 X 4'];65955.4
J2;Motor V8;2014;90684;False;['Teto panorâmico', 'Sensor de estacionamento', 'Bancos de couro', 'Vidros elétricos', 'Freios ABS', 'Rodas de liga', 'Travas elétricas', 'Câmbio automático'];60017.03
Aston Martin DBS;Motor V8;1995;43975;False;['Teto panorâmico', 'Piloto automático', 'Ar condicionado', 'Vidros elétricos', 'Bancos de couro', 'Travas elétricas', 'Sensor de chuva', 'Sensor crepuscular'];118909.52
Pajero TR4;Motor 2.4 Turbo;2019;;True;['Controle de tração', 'Bancos de couro', 'Câmera de estacionamento', 'Controle de estabilidade', 'Vidros elétricos', 'Piloto automático', 'Rodas de liga', 'Teto panorâmico'];51606.59
Polo Sedan;Motor V6;2019;;True;['Sensor de chuva', 'Sensor crepuscular', 'Ar condicionado', 'Sensor de estacionamento', 'Teto panorâmico', 'Câmbio automático', 'Vidros elétricos', 'Travas elétricas'];123281.87
California;Motor 1.0 8v;2009;5526;False;['Rodas de liga', 'Ar condicionado', 'Câmera de estacionamento', 'Painel digital', 'Travas elétricas', 'Sensor crepuscular', 'Central multimídia', 'Freios ABS'];69770.18
S60;Motor 2.4 Turbo;2019;;True;['Teto panorâmico', 'Freios ABS', '4 X 4', 'Ar condicionado', 'Controle de tração', 'Central multimídia', 'Painel digital', 'Sensor crepuscular'];102609.54
Tucson;Motor 2.0 16v;2013;93415;False;['Vidros elétricos', 'Sensor crepuscular', 'Freios ABS', 'Câmera de estacionamento', 'Piloto automático', 'Travas elétricas', 'Câmbio automático', '4 X 4'];67997.19
HB20;Motor V6;2003;40762;False;['Sensor de chuva', 'Travas elétricas', 'Controle de tração', 'Freios ABS', 'Ar condicionado', 'Teto panorâmico', 'Vidros elétricos', 'Câmbio automático'];135235.29
Optima;Motor 1.8 16v;2019;;True;['Central multimídia', 'Ar condicionado', 'Teto panorâmico', 'Freios ABS', 'Painel digital', 'Controle de estabilidade', '4 X 4', 'Sensor de estacionamento'];86641.34
Logan;Motor 4.0 Turbo;2002;86302;False;['Câmera de estacionamento', 'Vidros elétricos', 'Central multimídia', 'Sensor de chuva', 'Sensor crepuscular', 'Painel digital', 'Ar condicionado', 'Bancos de couro'];136818.39
Range Rover Vogue;Motor 1.0 8v;2019;;True;['4 X 4', 'Vidros elétricos', 'Rodas de liga', 'Central multimídia', 'Câmera de estacionamento', 'Sensor de estacionamento', 'Piloto automático', 'Ar condicionado'];117626.73
Sonata;Motor 5.0 V8 Bi-Turbo;2002;9755;False;['Piloto automático', 'Ar condicionado', 'Vidros elétricos', '4 X 4', 'Sensor de estacionamento', 'Bancos de couro', 'Travas elétricas', 'Controle de estabilidade'];56208.7
Ford New Fiesta Sedan;Motor 3.0 32v;2004;69945;False;['Teto panorâmico', 'Painel digital', 'Ar condicionado', 'Central multimídia', '4 X 4', 'Controle de estabilidade', 'Câmbio automático', 'Sensor de chuva'];84222.65
Série 5 Gran Turismo;Motor 4.0 Turbo;2001;2395;False;['Controle de tração', 'Piloto automático', 'Ar condicionado', 'Bancos de couro', 'Freios ABS', 'Central multimídia', 'Sensor de chuva', '4 X 4'];90781.65
CR-V;Motor Diesel V8;2019;;True;['Câmbio automático', 'Central multimídia', 'Vidros elétricos', 'Controle de estabilidade', 'Controle de tração', 'Bancos de couro', 'Freios ABS', 'Painel digital'];64701.1
Ford EcoSport;Motor 1.0 8v;2003;80349;False;['Vidros elétricos', 'Piloto automático', 'Painel digital', 'Freios ABS', 'Bancos de couro', 'Teto panorâmico', 'Sensor de chuva', 'Rodas de liga'];126350.49
Versa;Motor 3.0 32v;2009;85554;False;['Bancos de couro', 'Ar condicionado', 'Rodas de liga', 'Sensor crepuscular', 'Travas elétricas', 'Sensor de estacionamento', 'Piloto automático', 'Controle de estabilidade'];148152.89
Classe E;Motor 1.0 8v;2006;50496;False;['Freios ABS', 'Sensor de estacionamento', 'Central multimídia', 'Câmera de estacionamento', 'Ar condicionado', 'Teto panorâmico', 'Câmbio automático', 'Piloto automático'];132298.83
Carnival;Motor V8;2000;67716;False;['Travas elétricas', 'Câmbio automático', 'Câmera de estacionamento', 'Freios ABS', 'Central multimídia', 'Rodas de liga', 'Teto panorâmico', 'Controle de estabilidade'];137627.63
Aston Martin V8 Vantage Roadster;Motor 2.4 Turbo;2006;93947;False;['Câmbio automático', 'Câmera de estacionamento', 'Vidros elétricos', 'Controle de estabilidade', 'Central multimídia', 'Piloto automático', 'Sensor crepuscular', 'Travas elétricas'];80422.71
Hoggar;Motor 5.0 V8 Bi-Turbo;2010;35345;False;['Controle de estabilidade', 'Bancos de couro', 'Sensor de chuva', 'Painel digital', 'Vidros elétricos', 'Freios ABS', 'Controle de tração', 'Ar condicionado'];56373.99
A1;Motor 5.0 V8 Bi-Turbo;1994;81007;False;['Painel digital', 'Câmbio automático', 'Câmera de estacionamento', 'Freios ABS', 'Controle de estabilidade', 'Sensor crepuscular', '4 X 4', 'Ar condicionado'];70846.03
Aston Martin DB7 Vantage;Motor V6;2007;119513;False;['Sensor crepuscular', 'Piloto automático', 'Teto panorâmico', 'Freios ABS', 'Câmbio automático', 'Central multimídia', 'Vidros elétricos', 'Sensor de estacionamento'];128694.23
CLA;Motor 1.0 8v;2019;;True;['Central multimídia', 'Sensor de chuva', 'Controle de estabilidade', 'Sensor crepuscular', 'Rodas de liga', 'Piloto automático', '4 X 4', 'Vidros elétricos'];133329.19
Accord;Motor V8;2019;;True;['Sensor de estacionamento', 'Ar condicionado', 'Central multimídia', 'Controle de tração', 'Rodas de liga', 'Teto panorâmico', 'Sensor de chuva', 'Câmera de estacionamento'];131961.43
EXTRA 103EX;Motor 2.0 16v;2019;;True;['Sensor de estacionamento', 'Central multimídia', 'Bancos de couro', 'Sensor crepuscular', 'Teto panorâmico', 'Controle de tração', 'Piloto automático', 'Sensor de chuva'];112033.27
Sorento;Motor Diesel;2019;;True;['Sensor de chuva', 'Câmera de estacionamento', 'Sensor de estacionamento', 'Controle de estabilidade', 'Rodas de liga', 'Travas elétricas', 'Vidros elétricos', 'Controle de tração'];81399.35
Tiggo;Motor 3.0 32v;2019;;True;['Câmera de estacionamento', 'Freios ABS', 'Piloto automático', 'Vidros elétricos', 'Câmbio automático', 'Sensor crepuscular', 'Sensor de estacionamento', 'Controle de tração'];97163.1
New Fiesta Hatch;Motor Diesel;2017;118895;False;['Sensor de estacionamento', 'Travas elétricas', 'Piloto automático', 'Rodas de liga', 'Controle de tração', 'Ar condicionado', '4 X 4', 'Sensor crepuscular'];66007.16
Jeep Renegade;Motor 5.0 V8 Bi-Turbo;2011;48509;False;['Vidros elétricos', 'Teto panorâmico', 'Bancos de couro', 'Travas elétricas', 'Sensor de chuva', 'Controle de tração', 'Freios ABS', 'Central multimídia'];128776.22
Lamborghini Ankonian;Motor 2.0 16v;2001;100912;False;['Bancos de couro', 'Câmera de estacionamento', 'Central multimídia', '4 X 4', 'Sensor de chuva', 'Ar condicionado', 'Rodas de liga', 'Sensor crepuscular'];142623.02
Space Cross;Motor 5.0 V8 Bi-Turbo;1996;95649;False;['Teto panorâmico', 'Vidros elétricos', 'Sensor de chuva', 'Travas elétricas', 'Rodas de liga', 'Sensor crepuscular', 'Freios ABS', 'Ar condicionado'];136930.13
Touareg;Motor V8;2019;;True;['Controle de estabilidade', 'Piloto automático', 'Sensor crepuscular', 'Travas elétricas', 'Câmera de estacionamento', 'Rodas de liga', 'Painel digital', 'Teto panorâmico'];66526.61
Classe M;Motor 1.0 8v;1994;90495;False;['Central multimídia', 'Bancos de couro', 'Rodas de liga', '4 X 4', 'Vidros elétricos', 'Câmbio automático', 'Ar condicionado', 'Controle de estabilidade'];114154.87
Lancer Evolution X;Motor Diesel V6;2019;;True;['Vidros elétricos', 'Câmbio automático', 'Controle de tração', 'Travas elétricas', 'Teto panorâmico', 'Ar condicionado', 'Sensor crepuscular', 'Central multimídia'];142392.75
Kangoo Express;Motor Diesel;2007;29132;False;['Bancos de couro', 'Câmbio automático', 'Piloto automático', 'Controle de estabilidade', 'Central multimídia', 'Sensor de chuva', 'Teto panorâmico', 'Painel digital'];146716.91
SW4;Motor Diesel V6;1994;23802;False;['Sensor de chuva', 'Bancos de couro', 'Controle de tração', 'Piloto automático', 'Central multimídia', 'Câmera de estacionamento', 'Teto panorâmico', 'Rodas de liga'];122485.68
Cadillac ELR;Motor 1.0 8v;2007;84992;False;['Sensor crepuscular', 'Travas elétricas', 'Teto panorâmico', 'Vidros elétricos', 'Sensor de estacionamento', 'Sensor de chuva', 'Rodas de liga', 'Freios ABS'];97951.03
Doblò;Motor 1.8 16v;1997;54395;False;['Câmera de estacionamento', 'Teto panorâmico', 'Controle de estabilidade', 'Sensor de estacionamento', 'Travas elétricas', 'Vidros elétricos', 'Bancos de couro', 'Piloto automático'];78283.49
Lamborghini Egoista;Motor 3.0 32v;2006;26731;False;['Rodas de liga', 'Controle de tração', 'Central multimídia', 'Controle de estabilidade', 'Sensor de estacionamento', 'Painel digital', 'Câmera de estacionamento', 'Sensor crepuscular'];83434.04
Fit;Motor Diesel;2013;44329;False;['Freios ABS', 'Câmera de estacionamento', 'Câmbio automático', 'Teto panorâmico', 'Piloto automático', 'Vidros elétricos', 'Sensor de chuva', 'Sensor crepuscular'];77836.23
C5;Motor 2.0 16v;1994;118236;False;['Painel digital', 'Teto panorâmico', 'Piloto automático', 'Controle de estabilidade', 'Sensor crepuscular', 'Sensor de estacionamento', 'Travas elétricas', 'Sensor de chuva'];60813.92
Celer Hatch;Motor V8;2008;113808;False;['Controle de estabilidade', 'Câmbio automático', 'Freios ABS', 'Rodas de liga', 'Sensor crepuscular', 'Sensor de chuva', 'Central multimídia', 'Ar condicionado'];91353.86
HB20S;Motor V8;2008;610;False;['Teto panorâmico', 'Rodas de liga', 'Travas elétricas', 'Controle de tração', 'Freios ABS', 'Piloto automático', 'Sensor crepuscular', 'Sensor de estacionamento'];116281.21
Cielo Hatch;Motor Diesel;2019;;True;['Painel digital', 'Central multimídia', 'Câmera de estacionamento', 'Travas elétricas', 'Controle de tração', 'Sensor de estacionamento', 'Teto panorâmico', 'Ar condicionado'];145197.7
Livina;Motor 2.0 16v;2019;;True;['Sensor crepuscular', 'Câmera de estacionamento', 'Central multimídia', 'Rodas de liga', 'Painel digital', 'Câmbio automático', 'Bancos de couro', 'Sensor de estacionamento'];50742.1
Ducato;Motor 5.0 V8 Bi-Turbo;1999;12887;False;['Sensor de chuva', 'Painel digital', 'Sensor crepuscular', '4 X 4', 'Sensor de estacionamento', 'Bancos de couro', 'Travas elétricas', 'Câmbio automático'];73033.53
March;Motor V6;2007;79607;False;['Bancos de couro', 'Piloto automático', 'Sensor de estacionamento', 'Vidros elétricos', 'Controle de estabilidade', 'Freios ABS', '4 X 4', 'Câmbio automático'];54332.87
Cadillac XTS sedan;Motor Diesel V6;1993;90924;False;['Ar condicionado', 'Câmbio automático', 'Sensor de estacionamento', 'Travas elétricas', 'Câmera de estacionamento', 'Controle de tração', 'Bancos de couro', 'Painel digital'];52207.45
Lamborghini Centenario;Motor V6;1995;42733;False;['Central multimídia', 'Vidros elétricos', 'Sensor de estacionamento', '4 X 4', 'Câmera de estacionamento', 'Painel digital', 'Controle de tração', 'Câmbio automático'];63578.5
Hilux;Motor 5.0 V8 Bi-Turbo;2019;;True;['4 X 4', 'Piloto automático', 'Teto panorâmico', 'Central multimídia', 'Vidros elétricos', 'Freios ABS', 'Painel digital', 'Rodas de liga'];64507.72
